Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws,Birth Year,Starting Age,Total Bouts,Win %
157,Ralph Dupas,super welter,1950,16,"New Orleans, Louisiana, USA",106,23,6,1935,15,135,0.785185185
158,Joey Maxim,light heavy,1941,17,"Cleveland, Ohio, USA",83,29,4,1922,19,116,0.715517241
159,Wilfredo Gomez,super bantam,1974,15,"Las Monjas, Puerto Rico",44,3,1,1956,18,48,0.916666667
160,Young Stribling,heavy,1921,12,"Macon, Georgia, USA",256,16,17,1904,17,289,0.885813149
161,Teddy Yarosz,middle,1929,13,"Monaca, Pennsylvania, USA",106,18,3,1910,19,127,0.834645669
162,Junto Nakatani*,bantam,2015,10,"Sagamihara, Kanagawa, Japan",30,0,0,1998,17,30,1
163,Pedro Montanez,light,1931,9,"Cayey, Puerto Rico",90,9,4,1914,17,103,0.873786408
164,Len Harvey,light heavy,1920,22,"Stoke Climsland, Cornwall, United Kingdom",122,14,10,1907,13,146,0.835616438
165,Vasyl Lomachenko,light,2013,11,"Oxnard, California, USA",18,3,0,1988,25,21,0.857142857
166,Harry Wills,heavy,1911,21,"New Orleans, Louisiana, USA",89,10,7,1889,22,106,0.839622642
167,Paul Williams,welter,2000,12,"Aiken, South Carolina, USA",41,2,0,1981,19,43,0.953488372
168,Terry McGovern,feather,1897,11,"Brooklyn, New York, USA",66,5,8,1880,17,79,0.835443038
169,Max Schmeling,heavy,1924,24,"Brandenburg, Germany",56,10,4,1905,19,70,0.8
170,Vince Dundee,middle,1923,14,"Baltimore, Maryland, USA",122,21,14,1907,16,157,0.777070064
171,Mikkel Kessler,super middle,1998,15,Denmark,46,3,0,1979,19,49,0.93877551
172,Bennie Briscoe,middle,1962,20,"Philadelphia, Pennsylvania, USA",66,24,5,1943,19,95,0.694736842
173,Aaron Pryor,super light,1976,14,"Cincinnati, Ohio, USA",39,1,0,1955,21,40,0.975
174,Nel Tarleton,feather,1925,20,"Liverpool, Merseyside, United Kingdom",118,21,8,1906,19,147,0.802721088
175,Ken Overlin,middle,1931,13,"Norfolk, Virginia, USA",136,19,10,1910,21,165,0.824242424
176,Lou Brouillard,middle,1928,12,"Worcester, Massachusetts, USA",101,31,3,1911,17,135,0.748148148
177,Ken Buchanan,light,1965,17,"Edinburgh, Scotland, United Kingdom",61,8,0,1945,20,69,0.884057971
178,Kenny Lane,light,1953,32,"Muskegon, Michigan, USA",82,16,2,1932,21,100,0.82
179,Johnny Griffiths,welter,1911,13,"Akron, Ohio, USA",76,35,31,1893,18,142,0.535211268
180,Eder Jofre,bantam,1957,19,"Sao Paulo, Sao Paulo, Brazil",72,2,4,1936,21,78,0.923076923
181,Al Hostak,middle,1932,17,"Seattle, Washington, USA",64,9,11,1916,16,84,0.761904762
182,David Benavidez,light heavy,2013,12,"Las Vegas, Nevada, USA",30,0,0,1996,17,30,1
183,Maxie Rosenbloom,light heavy,1923,16,"New York, New York, USA",224,44,28,1906,17,296,0.756756757
184,Timothy Bradley Jr,super light,2004,12,"Palm Springs, California, USA",33,2,1,1983,21,36,0.916666667
185,Ernesto Marcel,feather,1966,8,"Panama City, Panama",40,4,2,1948,18,46,0.869565217
186,Mikey Garcia,light,2006,15,"Moreno Valley, California, USA",40,2,0,1987,19,42,0.952380952
187,Mike O'Dowd,middle,1913,10,"Saint Paul, Minnesota, USA",95,15,8,1895,18,118,0.805084746
188,Keith Thurman,super welter,2007,18,"Clearwater, Florida, USA",31,1,0,1988,19,32,0.96875
189,James Toney,middle,1988,29,"Sherman Oaks, California, USA",77,10,3,1968,20,90,0.855555556
190,Juan Martin Coggi,super light,1982,17,"Brandsen, Buenos Aires, Argentina",75,5,2,1961,21,82,0.914634146
191,Tiger Flowers,middle,1918,9,"New York, New York, USA",133,18,8,1895,23,159,0.836477987
192,Johnny Saxton,welter,1949,9,"Newark, New Jersey, USA",55,9,2,1930,19,66,0.833333333
193,Shakur Stevenson,light,2017,8,"Houston, Texas, USA",23,0,0,1997,20,23,1
194,Antonio Margarito,welter,1994,23,"Tijuana, Baja California, Mexico",41,8,0,1978,16,49,0.836734694
195,Laszlo Papp,middle,1957,7,"Budapest, Hungary",27,0,2,1926,31,29,0.931034483
196,Curtis Cokes,welter,1958,14,"Dallas, Texas, USA",62,14,4,1937,21,80,0.775
197,Carmen Basilio,welter,1948,13,"Canastota, New York, USA",56,16,7,1927,21,79,0.708860759
