Rank,Name,Division,Beginning Year,Longevity,Origin,Wins,Losses,Draws
216,Rodrigo Valdes,middle,1963,17,"Rocha, Colombia",63,8,2
217,Sammy Fuller,light,1924,19,"Boston, Massachusetts, USA",55,18,3
218,Mike Tyson,heavy,1985,39,"Henderson, Nevada, USA",50,7,0
219,Eusebio Pedroza,feather,1973,19,"Panama City, Panama",41,6,1
220,Ernie Roderick,welter,1931,19,"Liverpool, Merseyside, United Kingdom",112,24,4
221,Roman Gonzalez,super fly,2005,19,"Managua, Nicaragua",52,4,0
222,Sergio Martinez,middle,1997,26,Spain,57,3,2
223,Victor Galindez,light heavy,1969,11,"Moron, Buenos Aires, Argentina",55,9,4
224,California Jackie,welter,1936,13,"Los Angeles, California, USA",63,19,6
225,Jimmy Carter,light,1946,14,"The Bronx, New York, USA",85,31,9
